id;text;type;json_data;total_response_count
1;Brand;PARAGRAPH;United States of America;76624
2;complexity Glen;CHECKBOXES;e-tailers open-source;24659
3;USB Surinam Dollar;RADIO;Mouse sensor Ergonomic Concrete Chips;5138
4;online invoice;CHECKBOXES;maroon Industrial;7431
5;schemas calculate;CHECKBOXES;utilisation;93649
6;Awesome CSS;PARAGRAPH;orchid Congolese Franc back up;23628
7;red New York Credit Card Account;RADIO;calculate Bermudian Dollar (customarily known as Bermuda Dollar) metrics;57135
8;gold;RADIO;Chicken;67239
9;mint green;RADIO;program Soap mint green;74434
10;yellow;PARAGRAPH;Washington Bike;814
