id;date_created;taken_by;response_data
1;2020-07-04T07:09:24;programming end-to-end;Auto Loan Account South Carolina Centralized
2;2020-07-03T21:00:29;Cotton pixel;compressing Soap
3;2020-07-04T10:36:41;hacking solid state Implementation;bottom-line Administrator Salad
4;2020-07-04T13:09:47;Principal deposit;Intelligent Frozen Tuna Borders
5;2020-07-04T17:36:14;Fantastic Steel Salad Towels Alabama;Tasty Steel Cheese
6;2020-07-04T13:43:08;Gibraltar Pound Object-based;Strategist orchestrate
7;2020-07-03T22:54:20;THX;empower
8;2020-07-04T16:04:22;Granite attitude;connect Plastic
9;2020-07-03T21:55:23;definition;invoice
10;2020-07-04T04:59:46;override Sleek SAS;collaboration Function-based USB
